,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Greece,-0.5250455068698707,-1.3300443063551415,-1.0787900698073032,-0.41868902566696564,-1.6182558946421532,0.14405476852337815,0.20813893525509317,0.2447294864838968,-1.4007249613443191,0.10721889105102742,-0.08602141707771205,0.3247769138188132,-1.0698593539692498,-0.3943447069803175,0.8352535255768915,0.13981712714098882,-0.1503021513864755,0.24547602425154502,0.5818431827315802,-0.2894001742605921
Hungary,-0.12254991817744013,0.36075429235462353,-0.5046576783316629,1.4658238651545328,-0.5748916327908397,0.3688460413033739,0.6753887948609736,0.9964796939985955,1.5531668334650837,-0.777514379643211,-0.6108616770186023,-1.3191058884917934,0.8865254099643012,-0.44648700163280636,-0.008466638155776007,-0.22414129328604968,0.012405765444265122,-0.38232705228581215,-0.02552203908294555,0.13631278391061663
Iceland,-1.9770294309547254,0.4519310725520109,-0.9643796287086372,-1.7373116558068433,0.12347688589340924,0.19487176923097696,0.5015789346404478,0.11741163753542323,-0.35194337925245006,0.9014497033401184,-0.08938132151272218,0.1909592118676831,0.11509177723119858,0.6082912572403253,-0.5172907806951869,-0.19930729529102595,0.053276462007076524,-0.2921877171832046,-0.43331914600208493,-0.42352948031376747
Ireland,-2.138219047081467,-0.7943660495951274,0.09746693593920806,-0.9018914430474212,-0.2257327792761483,1.0634817179156628,0.9576919524237221,0.5564150530731884,0.843705515928017,-0.10079657132068592,0.11819061025126233,-0.16499559341252734,-0.6431663431596604,0.15325415693463748,0.34184505726988834,-0.43358851420704675,0.14802183484341302,-0.06805622735457809,-0.1700773598577683,0.0996693526820426
Italy,-3.00446629268036,-0.9973157864131447,-0.2660642602421009,0.013772372531302922,-0.5156058005535341,-1.390898563081811,-0.8849057854469357,-0.7565472056244967,-0.3848992698236571,-0.39597272591852734,0.3583841199628749,-0.39284415502923703,0.4818180119584084,-0.25100381290055396,-0.2263754914211822,0.08444694441433992,-0.08699916204960575,-0.22490036905426125,0.07778340668656733,0.05761197402934409
Latvia,1.5186599825704161,3.0150479339331135,1.4033151265888237,1.7205120976195984,0.8688244798623855,1.0087275911832718,-1.5353992429274472,0.434578887126369,0.36371016708655435,0.9830099139824493,-0.13889493693293506,-0.1735657956491205,-0.3464024150576196,0.08350000507435636,-0.480052351921839,-0.5473219348909217,-0.05029810771393539,-0.46689226229721614,0.45669561299264017,-0.0665960660597205
Lithuania,1.1696824015564298,3.969894742832263,0.6962992357200153,1.30734156648756,0.6246990251548312,0.2841793375200292,-0.08113129692593066,-0.4761828630778961,0.7429089913384809,-0.3136693912416462,-0.0062586580698519925,-0.9613893440369841,-0.6838468202090425,-0.013604287882051702,0.3610037820626288,0.4168420565006832,0.47459756842207806,0.3921302264691646,0.2972051005655781,0.1976614044017887
Luxembourg,-2.6044223679246215,-0.03254541707346147,0.4791749825051278,1.2151331542410035,1.6902513022084602,-1.910469767325714,1.2475684306997867,-0.32231000139034727,-0.6496139383223947,0.14959195478042744,-0.03303461844489964,-0.5843010187594325,-0.27521126005056085,0.2636917559450954,0.1548627909223894,-0.35882650842616237,-0.5734691860652207,0.042218341914124706,-0.15131966172913902,-0.16575934510610413
Malta,-0.4058769310193261,-1.6055590940950715,1.4831374591781248,-0.46302316126659954,-0.14766278010358158,1.7217296490679017,-1.1566458493566905,-1.2080676160063444,-0.6531515930513743,-1.055924810184763,0.7944653601287996,0.8556119317269979,-0.26587412330329496,0.29825707712917005,-0.40143808534286207,0.15972830257018494,-0.16842271564929587,-0.3310385326407708,-0.5471777343892873,0.07973350156611178
Montenegro,1.57728549070077,0.9991326958081262,-3.022127490315349,0.09023256858126981,1.0603216874019046,0.3662123215309145,-0.8249627863581304,-0.44114951215568404,-1.234007099058834,1.102724122117947,0.41994675321219427,-0.5787824139734943,-0.8898858332031043,-0.22626046077376297,-0.05065783875468819,0.6109439991263322,0.6324596680626556,-0.2392675726905309,-0.2509523055226189,0.18256481799341087
