,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Sudden infant death syndrome,Unintentional injuries,Intentional injuries
Netherlands,-0.3698039484461763,-0.13303802104754733,-0.1711192927151456,0.3866662550808345,0.2283412275312771,0.9735002935837637,-0.6100709070388664,0.3703881081314742,-0.4073866305206121,1.3724148369639648,-0.9543199758867645,0.6032875055826014,-0.9664461782108685,-0.3541882676734885,-0.060829906467247244,1.4408334520937118,-0.056262719242159774,-0.9073264670990742,-0.6302689583834858,-0.2781024119382871
North Macedonia,-1.1169588646945736,-0.13303802104754733,0.9221428551871725,-0.9691764575402727,1.4408331457223509,-0.9084453813633688,2.9365135525411468,-1.5038649691603232,-1.0577599652763565,-1.339781898950507,1.8494843358978192,1.8960464461167472,-0.593176387847144,1.3247238157507035,-1.4295028019803127,-1.5776723832981423,-0.8773942973709873,1.9412566272817384,-0.6302689583834858,-0.5620950413760231
Norway,-0.04716887097527744,-1.1308231789041563,-0.8365832088296,1.968482753138793,-0.7991942963594636,0.08480372485872884,-0.7151548910264223,0.303450498228196,0.24298670423513236,1.0127865404891179,-0.969359539244996,0.5898212666187038,-0.9913308309017834,-0.6675851899126709,0.6235065412892856,1.1993529852623632,-0.6036837713280448,0.04220123102786337,-0.8100197251474496,-0.16450536016319275
Poland,1.7867568325435155,-1.1308231789041563,-0.36125184017641826,-0.291255101229719,1.379181014288907,4.580562837232434,0.05983949088180271,-0.9014264800308169,0.9340083724131107,-1.249874824831795,-0.16939800252382617,-0.19122059328734214,0.44368414094097974,-0.6451996954670148,-0.060829906467247244,-0.611750515972749,0.08059254377931128,-0.9073264670990742,0.20428817302063182,-0.25916956997577145
Portugal,1.0565827098462182,-0.13303802104754733,-0.2661855664457818,0.3866662550808345,-0.24432511345846378,-0.12430135013539695,0.0729749888802474,1.6422026962937657,-0.9154907982985374,-0.08108286128854209,-0.8297064509185608,0.1858340977017833,-0.3443298609379943,0.4964605212614356,-0.060829906467247244,0.23343111793697005,-0.6036837713280448,-0.9073264670990742,-0.3349641272712598,-0.6378264092260861
Republic of Moldova,1.5829873099303164,0.8647471368090617,2.4432032348773545,-1.195150242977124,-0.07478175201649172,-0.5947877688721801,-0.4393094330590879,-1.2361145295472094,-0.1025241298538569,-1.5870263527769641,1.3538949147599053,-0.9318637363016967,3.6040350326871806,-0.7123561788039827,0.3953943920371081,-1.0947114496354455,2.270276752122851,0.04220123102786337,1.8605630953457262,0.8200024218876253
Romania,2.3980654003831137,0.8647471368090617,-0.2661855664457818,-0.06528131579286779,1.034956613785508,-0.8038928438663059,-0.6363419030357552,-1.4369273592570446,-0.6309524643428993,-1.2873361057145916,0.700748163202424,0.239699053557373,1.7957502704806931,0.6083879934897151,-0.74516635422378,-1.5776723832981423,-0.32997324528510247,-0.9073264670990742,0.8334158566945048,-0.5620950413760231
Russian Federation,0.5301781097621204,0.8647471368090617,-0.2661855664457818,-0.7432026721034214,0.42357297707051694,-1.0652741876089633,-0.41303843706219895,-1.1022393097406522,2.9257767101025776,-0.5381104880586601,1.1325984824887851,-0.9183974973377994,1.4639549012684936,-0.21987530099955283,1.3078429890458183,-0.7324907493884231,0.14902017529004696,2.890784325408676,2.6951202267498435,3.2812718770146705
Serbia,-0.2848999806906766,0.8647471368090617,0.3517452128033544,0.8386138259545372,1.9237748419509992,0.5552901435955119,1.1763568207495845,-0.43286321070786743,-0.38706246380949516,-0.08108286128854209,0.6735337152208621,1.155403303102393,-0.037419144416709724,2.958864910283584,0.16728224278493029,-0.3702700491414007,-0.4668285083065735,0.04220123102786337,-0.9127344490125716,-0.46743083156344445
Slovakia,1.3792177873171174,-0.13303802104754733,-0.12358615584982736,-0.291255101229719,1.862122710517554,-0.699340306369243,-0.3736319430668654,-0.5667384305144245,-0.48868329736508015,1.447337398729558,-0.37350636238553914,-1.0934586038684648,0.8667232366865341,-0.04079134543430591,2.220291586054529,-0.7324907493884231,0.5595859643544604,0.04220123102786337,1.180078049739292,-0.22130388605074008
Slovenia,-1.0829972775923737,-0.13303802104754733,-0.7415169350989637,-1.195150242977124,0.6958698909015638,-0.5947877688721801,-0.5575289150450884,-0.2989879909013106,1.7469750408577915,-0.9501845777694224,-0.6184363942195946,-1.0934586038684648,-0.3692145136289093,-1.3391500232823477,-1.2013906527281353,0.4749115847683183,-0.6721114028387806,-1.8568541652260118,0.20428817302063182,0.630674002262468
Spain,-0.709419819468175,-1.1308231789041563,-0.5038512507723727,0.3866662550808345,-0.9584623025625288,0.5552901435955119,-0.6888838950295333,0.7720137675511451,-0.8545182981651864,0.21860738577383051,-0.9686433695612706,0.7514161341854725,-0.6097661563077539,-0.21987530099955283,0.8516186905414631,1.8030541523407342,-0.8773942973709873,0.04220123102786337,-1.1951999396416577,-1.0543489324014323
Sweden,-0.6414966452637753,-0.13303802104754733,-0.7890500719642818,0.8386138259545372,-1.21020850591576,0.6598426810925749,-0.4393094330590879,0.23651288832491743,0.1413658706795473,0.967833003429762,-0.8132345481928787,-0.29895050499852105,-0.9166768728290384,-0.7347416732496385,0.16728224278493029,0.3541713513526443,-0.32997324528510247,0.04220123102786337,-0.9384131299788523,0.42241274067479495
Switzerland,-0.8792277549791744,-0.13303802104754733,-0.4563181139070547,0.3866662550808345,-1.2358968940130284,0.24163253110432312,-0.7676968830202002,0.303450498228196,-0.38706246380949516,0.5257898890127625,-0.939280412528533,-0.7164039128793391,-0.8834973359078186,-0.7571271676952943,-0.2889420557194248,1.6823139189250598,0.21744780680078263,0.04220123102786337,-0.9897704919114132,-0.2023710440882241
Turkey,0.377350967802221,-0.13303802104754733,1.3974742238403544,1.0645876113913884,0.8859639628213503,-0.8561691126148374,1.2945763027355852,0.1695752784216389,-0.9561391317207715,-0.11854414217133866,-0.27825579445007304,1.4112618434164423,-0.7839587251441587,2.3992275491421866,-0.5170542049716023,-0.611750515972749,1.8597109630584374,0.9917289291548006,-0.5789115964509247,-0.7324906190386647
Ukraine,-0.19999601293517694,-0.13303802104754733,0.7320103077258997,-0.7432026721034214,0.3619208456370731,-1.1175504563574945,-0.9515938549984231,-1.3699897493537665,1.2795192065021002,-0.6280175621773718,1.53795052347731,-1.295452188326925,1.0658004582138543,-1.0929095843801326,-0.5170542049716023,-1.4569321498824679,0.9701517534188745,0.9917289291548006,1.5010615618177992,2.3535626208514
United Kingdom,1.396198580868217,-0.13303802104754733,-0.12358615584982736,-0.7432026721034214,-0.3984554420420749,0.03252745611019733,-0.8727808670077563,0.03570005861508179,-0.000903296298271828,2.076686917560541,-0.9127821342306965,0.8726122848605484,-0.21990659748341942,-0.8690546399235738,1.3078429890458183,1.3200932186780376,-0.12469035075289545,0.9917289291548006,-1.066806534810255,-0.6188935672635705
