,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Estonia,-0.2299372210317078,1.2599893757907128,-0.19615058380004796,0.11784066474088739,-0.966192805018132,-0.23345973703912368,-1.7981811023248548,0.7131918818159342,0.5501905088003143,0.28637445167845127,-0.016670795290742602,0.1812318558292709,-0.7846473796818817,0.42610231914643365,-0.6014907893353758,1.3194749519305007,-1.789483743589507,0.28420197029578986,-0.07974226288383662,2.11871709788659
Finland,-0.7814056515785358,1.1647155287083952,-0.9433668618792516,-2.3355797110565595,0.5760790610679,0.28827294177596585,0.6396611539135041,-1.2692487468287807,0.5896456797954018,0.8794867853867775,1.102554772848832,-0.22654104136044706,1.1980512383507254,-1.4706348182201774,1.01527919649325,-0.7992042300567925,-0.6494473142982049,1.8854087533439592,-1.0690872875581463,0.37892048954921886
France,-1.0805192449751322,0.23625287363934794,1.252174200979112,1.1400945366379294,1.2740124346154504,-1.6732040224566014,1.0711278365923964,-1.672271084133795,0.035072713231011375,0.2687182227679821,-0.936049627530889,-0.47523765948748364,0.2026066943248001,0.43715866378079027,-0.7556136440938119,0.6881378569052674,-1.6566520490949053,-0.89907965352932,0.8254503301892664,-0.6653658579908599
Georgia,1.8086913203414439,-0.7049443168944753,0.34362027661528693,-0.9594073718644222,1.2070376852969438,-0.7325268309580827,-0.9498051743346295,0.03552033909296671,0.4131830063905406,1.3277849912338902,-0.021034720203222567,-0.9817226744262469,0.9574108767643817,0.469648335749796,0.9641479038934683,-2.754600037580638,0.09145525894899109,1.1304299223569274,0.6738320524326066,0.47320512953524846
Germany,-0.7237512186964242,-0.19581083264566757,0.07096137919431283,-0.08543323858214563,0.20965798022132226,-0.5862841556077331,-0.5004182774455849,0.4679065282835458,0.5861002123249841,-0.4747252527452542,-0.2277063353616283,0.21160344640970719,-0.31563272934698583,-1.5369908567502095,1.1873104879540757,0.21088161049089466,-1.1685697221467164,-0.44876151624459915,-1.1738347667487077,0.5095275274888862
Greece,-0.20852774736821308,-0.6802387921608016,-0.7996425718224416,-0.33388882276338394,-1.3221890739333597,0.15539504809549634,0.23834764063084227,0.3140943704120364,-1.8195680540059995,0.1486384693555939,-0.1320056246862048,0.5300510368627416,-1.9631642934111275,-0.8591356105736431,1.9173002312543992,0.32770749139866584,-0.4141170277566581,0.7506524730231037,1.8432650592786277,-1.420806554375206
Hungary,-0.0486720827877384,0.18450442810482484,-0.3740725606263283,1.1689396538045813,-0.46971275562066933,0.39788233958301394,0.7734128435236235,1.2789168424764468,2.0175929113181748,-1.0778748610366606,-0.9374081480063896,-2.152842194679175,1.6267512393910428,-0.9727349599753653,-0.019434922208565138,-0.5253489500435496,0.03418073969956232,-1.1691355527572345,-0.08085319941754766,0.6692259163981714
Iceland,-0.7851995461791972,0.23113594446727367,-0.7148369530797525,-1.385441002678326,0.10088626276728856,0.21021246476257918,0.5743767042680534,0.150690196349354,-0.4571810650765292,1.249687464513703,-0.13716162302820817,0.3116543200648339,0.21119043983421673,1.3252483713997463,-1.1874259767627255,-0.467142295746167,0.14678891747218392,-0.893494316437982,-1.3727445212855045,-2.0793127134024223
Ireland,-0.8492178209958734,-0.40627112911068175,0.0722464115154519,-0.7192246601156428,-0.18443400414959285,1.1472011263366548,1.096688695133283,0.7141225125493923,1.095989324198171,-0.13973515236478604,0.1813714057298882,-0.2692804865276955,-1.1801936347337338,0.33388581451800853,0.7846954095812361,-1.0162575014632158,0.40783423073448355,-0.2081122811243962,-0.5388009417389816,0.4893254467547964
Italy,-1.1932576888266555,-0.5100678847396466,-0.19721752663892445,0.010982951472898645,-0.4212735193523254,-1.5003928805798494,-1.013338546598039,-0.9709791069791978,-0.49999138639552326,-0.5489403901694991,0.5499644302601548,-0.6411399420307343,0.8841236125942868,-0.5468472385592162,-0.5196383717774624,0.19792922996050477,-0.23970271930880982,-0.6877332266119563,0.24641594160114452,0.28284526960125117
Latvia,0.6031529477732422,1.5420182283295658,1.0401935912362117,1.3720439839789493,0.7098693341660312,1.0881366452075487,-1.7582428128097358,0.5577537219051123,0.4724663436515996,1.3627550848869294,-0.21314358142948617,-0.2832674553926187,-0.6356394883771291,0.1819165480672726,-1.1019462440679395,-1.2828292351458723,-0.13858286575499693,-1.4277314144929207,1.4468006004695564,-0.3269525576306455
